Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
165,02-01-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,16,16,187,NA
165,09-01-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,23,21,191,NA
165,12-01-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,25,5,109,NA
165,23-01-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,155,82,106,NA
165,28-01-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,19,12,171,NA
165,30-01-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,17,29,134,NA
165,02-02-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,2,19,129,NA
165,06-02-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,9,10,116,NA
165,09-02-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,5,6,98,NA
165,13-02-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,7,27,66,NA
165,16-02-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,8,38,119,NA
165,20-02-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,10,42,94,NA
165,23-02-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,3,17,113,NA
165,03-03-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,5,7,28,NA
165,09-03-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,2,7,51,NA
165,11-03-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,17,6,64,NA
165,13-03-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,3,8,131,NA
165,14-03-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,8,5,60,NA
165,16-03-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,8,5,50,NA
165,21-03-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,3,8,94,NA
165,24-03-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,3,8,132,NA
165,27-03-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,5,6,78,NA
165,03-04-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,9,5,49,NA
165,07-04-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,14,6,154,NA
165,15-04-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,2,13,21,NA
165,17-04-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,4,12,19,NA
165,20-04-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,2,5,99,NA
165,27-04-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,2,5,102,NA
165,28-04-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,2,11,97,NA
165,01-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,6,6,60,NA
165,04-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,6,6,43,NA
165,05-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,23,19,60,NA
165,08-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,2,5,36,NA
165,11-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,4,10,55,NA
165,15-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,2,14,NA,NA
165,18-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,5,14,43,NA
165,22-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,2,10,54,NA
165,25-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,15,19,40,NA
165,29-05-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,16,14,45,NA
165,01-06-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,23,19,97,NA
165,05-06-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,23,19,60,NA
165,08-06-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,14,14,68,NA
165,12-06-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,15,7,43,NA
165,15-06-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,15,7,162,NA
165,19-06-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,18,16,353,NA
165,22-06-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,12,5,65,NA
165,26-06-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,14,5,109,NA
165,29-06-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,6,5,51,NA
165,03-07-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,6,5,103,NA
165,06-07-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,10,12,70,NA
165,13-07-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,10,7,109,NA
165,17-07-15,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna,Nagpur",National Environmental Engineering Research Institute,Industrial Area,12,17,138,NA
